"NOTA_MEDIA","SIF043","GRADE_CORRENTE","SIF049","TOT_APROVACOES","SIF073","SIF027","SIF011","BOLSISTA","SIF047","SIF033","SIF029","SIF006","SIF009","TOT_REPROVACOES","SIF058","SIF063","SIF001","SIF062","TOT_REPROV_NOTA_FREQ","SIF002","SIF015","SIF026","SIF042","SIF032"
7.8,0,2017,0,36,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0
5.2,1,2015,1,34,0,1,2,1,1,2,1,1,2,18,1,1,1,1,0,1,2,2,2,1
6.8,1,2015,1,48,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
9.2,0,2019,0,10,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
6.7,0,2019,0,9,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0
7.5,1,2015,1,48,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
4.8,0,2018,0,14,0,1,0,1,0,0,1,0,1,8,0,1,2,0,0,1,1,1,2,0
6,1,2015,1,48,0,1,1,1,1,5,5,1,1,6,1,1,1,5,1,1,1,1,1,1
7.2,1,2017,0,36,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1
4,1,2016,0,13,0,2,2,0,0,0,2,1,2,16,1,1,0,0,3,0,0,2,4,2
6.2,0,2018,0,21,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0
5.4,0,2017,0,14,0,0,0,1,0,0,0,1,1,4,0,1,1,0,0,1,1,1,2,0
7.2,0,2019,0,10,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
6.4,0,2018,0,21,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0
6.1,1,2014,1,48,0,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1
6.9,1,2017,0,36,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1
7.6,1,2015,1,48,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
5.5,1,2014,1,60,0,3,5,1,1,1,3,1,1,24,1,1,1,1,15,1,1,5,1,1
4.6,1,2016,3,22,0,2,2,0,0,2,2,1,1,25,2,1,1,2,1,1,1,2,4,1
