"EVADIDO","BOLSISTA","GRADE_CORRENTE","NOTA_MEDIA","TOT_MAT_CURSADAS","TOT_APROVACOES","TOT_REPROVACOES","TOT_REPROV_FREQ","SIF001","SIF002","SIF009","SIF026","SIF027","SIF032","SIF033","SIF042","SIF043","SIF047","SIF049","SIF058","SIF063","SIF064","SIF029","SIF006","SIF073"
0,1,2018,7.2,17,17,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2016,6.2,45,41,4,3,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
1,1,2017,1.3,14,0,14,2,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0
1,1,2019,0.9,5,0,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2015,2.7,6,2,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2018,1.2,15,1,14,8,4,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,0,2017,7.9,34,34,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0
1,1,2014,3.5,6,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2016,6.7,12,12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,1,2014,5.7,29,24,5,3,1,1,1,2,0,0,0,3,0,0,0,0,1,1,0,1,0
0,1,2016,7.8,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2017,8.5,36,36,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
0,1,2019,8.7,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2019,5.8,9,8,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2019,7.5,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2014,5.3,61,46,15,15,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,0
1,1,2015,5.3,6,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2018,7.9,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,0,2015,8.4,12,12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,2014,6.1,57,48,9,7,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0
1,1,2017,7.8,36,36,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0
1,1,2015,5.2,52,34,18,18,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,0
0,1,2015,6.8,49,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2019,9.2,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2019,6.7,10,9,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2015,7.5,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2018,4.8,22,14,8,8,2,1,1,1,1,0,0,2,0,0,0,0,1,2,1,0,0
0,1,2015,6,54,48,6,4,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,0
0,1,2017,7.2,36,36,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
1,0,2016,4,29,13,16,13,0,0,2,2,2,2,0,4,1,0,0,1,1,1,2,1,0
0,1,2018,6.2,22,21,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,1,2017,5.4,18,14,4,4,1,1,1,1,0,0,0,2,0,0,0,0,1,1,0,1,0
0,1,2019,7.2,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,2018,6.4,22,21,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2014,6.1,50,48,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2017,6.9,36,36,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
0,1,2015,7.6,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,2014,5.5,84,60,24,2,1,1,1,5,3,1,1,1,1,1,1,1,1,1,3,1,0
0,0,2016,4.6,47,22,25,22,1,1,1,2,2,1,2,4,1,0,3,2,1,1,2,1,0
1,1,2018,7.4,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2016,3.9,6,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2014,5.5,12,8,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0
0,1,2018,8.8,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2018,8.7,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,1,2015,5.6,52,40,12,12,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0
0,0,2018,8.5,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2016,7.1,48,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2018,7.2,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,0,2014,5.8,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2018,6.9,22,19,3,3,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
