"EVADIDO","NOTA_MEDIA","SIF043","SIF073","NCS005","SIF027","SIF006","TOT_REPROVACOES","SIF060","SIF009","SIF033","SIF029","BOLSISTA","SIF011","SIF058","NCS012","SIF002","SIF063","SIF047","SIF064","TOT_REPROV_NOTA_FREQ","TOT_MAT_CURSADAS","TOT_APROVACOES"
0,5.8,1,0,0,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,0,47,41
1,6.9,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,12,12
1,1.9,0,0,0,0,0,5,0,0,0,0,1,0,0,0,4,0,0,0,5,5,0
0,5.9,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,10,9
0,8.5,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
1,0.2,0,0,0,0,4,6,0,4,0,0,1,0,0,0,0,0,0,4,6,6,0
0,8,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,49,49
1,0.4,0,0,0,0,0,6,0,0,0,0,0,0,0,2,4,0,0,0,5,6,0
0,6.5,1,0,0,1,0,5,1,1,2,1,1,1,1,1,0,1,1,0,0,41,36
0,7.8,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,36,35
0,8.6,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,4,0,0,0,0,0,6,0,4,0,0,1,0,0,0,2,0,0,2,1,9,3
0,7.4,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,6.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,4
0,5.9,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,20,20
1,4.6,0,0,0,1,2,14,0,2,0,1,0,2,0,1,1,1,0,2,0,29,15
0,6.3,1,0,0,1,1,4,0,1,0,2,1,1,1,2,1,1,0,1,0,36,32
0,7.4,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,49,48
1,5,0,0,0,0,1,5,0,2,0,0,1,0,0,1,1,0,0,2,0,12,7
